drop_features,feature_selection,model,with_grid_search_cv,uid,LABEL_BaseExcess_score,LABEL_Fibrinogen_score,LABEL_AST_score,LABEL_Alkalinephos_score,LABEL_Bilirubin_total_score,LABEL_Lactate_score,LABEL_TroponinI_score,LABEL_SaO2_score,LABEL_Bilirubin_direct_score,LABEL_EtCO2_score,task1_score
True,l1_SVC,random_forest_cl,False,Truel1_SVCrandom_forest_clFalse,0.9033390062486424,0.7513271344040575,0.6880467906946588,0.7113782784721,0.7094550782227664,0.7555179881987111,0.859400306777691,0.8064344319092013,0.7446201243840512,0.875145484782117,0.7804664624093997
True,False,grad_boosting,False,TrueFalsegrad_boostingFalse,0.9168773799707426,0.7882586644125106,0.7109334596152571,0.7214666823133642,0.7205808853823732,0.7743202539889288,0.8679061628652909,0.8345839215345456,0.7491120164194025,0.9338210426389948,0.8017860469141411
False,l1_SVC,random_forest_cl,False,Falsel1_SVCrandom_forest_clFalse,0.8732880203072091,0.7516410256410256,0.7018438241501057,0.7038833147528799,0.7169294628177137,0.7529905782917831,0.8430189814726599,0.8042307815774988,0.7370750285304812,0.8869562834265136,0.7838060732025756
True,False,random_forest_cl,False,TrueFalserandom_forest_clFalse,0.9026625796369756,0.7237745843899691,0.7031363613206804,0.7106471865281934,0.7061220914338082,0.7519732180876759,0.8386900338535216,0.8048399270591349,0.7301348231110167,0.8863743442980461,0.801671146247935
False,l1_SVC,SVC_sig,False,Falsel1_SVCSVC_sigFalse,0.6241598707671933,0.5241606086221471,0.5563158715382466,0.5554518961841616,0.5514626097871833,0.5285379713090557,0.6236248991698583,0.6033417658485483,0.4706379327122977,0.5311389913210602,0.801671146247935
False,False,SVC_rbf,False,FalseFalseSVC_rbfFalse,0.7946555795266104,0.6815407156945619,0.6848061850354378,0.6941567407928964,0.6858721559295667,0.7007583347944795,0.8256662728733573,0.7609906522006358,0.5626520519829791,0.8628577059702989,0.7838060732025756
False,l1_SVC,grad_boosting,False,Falsel1_SVCgrad_boostingFalse,0.9097929139874972,0.7830881938574247,0.7178268625425893,0.7267067613291869,0.7213479035990558,0.7673727282161017,0.8820144433223451,0.8387541800455529,0.7647695002521299,0.9270914239199138,0.8064234583137682
True,False,SVC_rbf,False,TrueFalseSVC_rbfFalse,0.7989253797232996,0.6747173851789235,0.681166316998504,0.6906839562674802,0.6822592382954638,0.7011201920840475,0.8192306104431445,0.7581461463718653,0.5468563390748162,0.8601637593034457,0.7838060732025756
True,False,SVC_rbf,False,TrueFalseSVC_rbfFalse,0.7989216891650129,0.6749394195548042,0.681166316998504,0.6906839562674802,0.682258083147547,0.7011206393736514,0.8192306104431445,0.7581453634085213,0.5468497040791953,0.8599468441172834,0.8064620010253136
True,l1_SVC,grad_boosting,False,Truel1_SVCgrad_boostingFalse,0.9173063634363384,0.7962349957734574,0.7127927602480559,0.7203004165933228,0.7215766228865607,0.7696583780921131,0.8710858850504627,0.8357068867106848,0.7567986588462186,0.9302320292765528,0.790126921941473
False,False,random_forest_cl,False,FalseFalserandom_forest_clFalse,0.8846521279759081,0.7493243167089321,0.7046139601733367,0.719991981067496,0.7113749340603064,0.7551478560514705,0.8521512547398107,0.809443360040213,0.7210194449604996,0.9003519623827083,0.7901491935425407
False,False,grad_boosting,False,FalseFalsegrad_boostingFalse,0.9112081552199608,0.7837272471118625,0.7146723231088201,0.7271255060728746,0.7248780356324628,0.7823444058383818,0.8817826133902428,0.8400169041785971,0.7706558472004741,0.9260412512041124,0.8007004826012155
True,l1_SVC,SVC_sig,False,Truel1_SVCSVC_sigFalse,0.6187713041870614,0.523890673429135,0.5563359407926121,0.5554010444170627,0.4492555071676929,0.524569170653508,0.6183936408732049,0.6006107897046584,0.4722369666569353,0.5308182833845299,0.8007931876420127
True,l1_SVC,SVC_rbf,False,Truel1_SVCSVC_rbfFalse,0.7989185258293388,0.6735193012116089,0.6807618443336004,0.6907993506620509,0.6816495127201038,0.7016256293364728,0.8147138964577657,0.7587588151885494,0.5424108920088113,0.8565858249424475,0.8064620010253136
True,l1_SVC,SVC_rbf,False,Truel1_SVCSVC_rbfFalse,0.7987397973637463,0.6734573119188503,0.6830024607993429,0.6895065422754211,0.6824217291024116,0.7013076064280883,0.8194949918383161,0.7581731586072334,0.5394804356095793,0.8570097425240064,0.8007931876420127
False,l1_SVC,SVC_rbf,False,Falsel1_SVCSVC_rbfFalse,0.7947518855238026,0.6794668920822767,0.6888130888589394,0.6942075925599953,0.6851979345955249,0.7009560367994103,0.8266317016317017,0.7608160513749228,0.548860107752329,0.861993543857685,0.8064620010253136
False,False,SVC_sig,False,FalseFalseSVC_sigFalse,0.6252902360481079,0.5257869822485207,0.5575408679489376,0.5569649318390737,0.44735990943640336,0.5293421980168969,0.6272984508679331,0.6037367708555988,0.4718875235542345,0.5320777909170847,0.8007931876420127
True,False,SVC_sig,False,TrueFalseSVC_sigFalse,0.6199607184005612,0.525141730064807,0.5568608289837084,0.5563175497271606,0.551731951776425,0.5254472001459953,0.6227468036051143,0.5981875181549625,0.4735639657811159,0.534223618565141,0.8064620010253136
True,False,SVC_sig,False,TrueFalseSVC_sigFalse,0.6199607184005612,0.5250166244012398,0.5568608289837084,0.5563175497271606,0.4482684332728806,0.5254472001459953,0.6227468036051143,0.5981875181549625,0.4735639657811159,0.5342212861437844,0.8007931876420127
